resource,scg_id,description,condition_key,iso_27001,scg_6.x,scg_7,scg_8,vsan_hg,nsx-t_scg,(kein_alert),strictest_requirement,note
ManagementService,–,Management Service's 'Client API Concurrency Limit' is not set to recommended value.,ComplianceMetrics|APILimits|Client_API_Concurrency_Limit,,,,,,,= 40.0,= 40.0,
ManagementService,–,Management Service's 'Client API Rate Limit' is not set to recommended value.,ComplianceMetrics|APILimits|Client_API_Rate_Limit,,,,,,,= 100.0,= 100.0,
ManagementService,–,"Management Service ""http"" have session_timeout set to non-recommended value.",ComplianceMetrics|HttpSessionTimeOut,,,,,,,= 1800.0,= 1800.0,
ManagementService,–,"Logging-servers are not configured with log level as ""INFO"".",ComplianceMetrics|LoggingServerWithLogLevelNotInfoFound,,,,,,≠ true,,≠ true,
ManagementService,–,Logging-servers are not configured.,ComplianceMetrics|NumberOfLoggingServers,,,,,,,≠ 0.0,≠ 0.0,
ManagementService,–,Management Service in context is 'syslog'.,ComplianceMetrics|ServiceName,,,,,,≠ syslog,,≠ syslog,
CacheDisk,–,Encryption is not enabled on vSAN cache disk.,ConfigurationProperties|vsan|encryption,,,,,,,= Enabled,= Enabled,
VirtualSANDCCluster,–,vSAN cluster encryption is not enabled.,configuration|vsan|encryption,,,,,,,= Enabled,= Enabled,
VirtualMachine,–,VM.set-secure-boot - Secure boot is not enabled for guest OSes,config|boot_options_efi_secure_boot_enabled,,,≠ false,≠ false,,,,≠ false,
VirtualMachine,VM.TransparentPageSharing-inter-VM-Enabled,Inter VM Transparent Page Sharing is Enabled,config|extraConfig|mem_tps_share,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
VmwareDistributedVirtualSwitch,–,vNetwork.limit-network-healthcheck - VDS network healthcheck for Teaming Health Check is enabled,config|health_check_config|health_check_config_teaming,,≠ true,≠ true,≠ true,,,,≠ true,
VmwareDistributedVirtualSwitch,vNetwork.limit-network-healthcheck,VDS network healthcheck for VLAN and MTU Health Check is enabled,config|health_check_config|health_check_config_vlan_mtu,,≠ true,≠ true,≠ true,,,≠ true,≠ true,
VirtualMachine,–,VM.set-vmotion-encrypted - The configured vMotion encryption is not set to required,config|migrateEncryption,,,= required,= required,,,,= required,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Block overrides on VDS is not restricted,config|policies|override|block_override_allowed,,= true,= true,= true,,,,= true,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Netflow overrides on VDS is not restricted,config|policies|override|ipfix_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Live Port Moving overrides on VDS is not restricted,config|policies|override|live_port_moving_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Restrict port-level configuration Network Resourcepool Moving overrides on VDS,config|policies|override|network_resourcepool_moving_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,vNetwork.restrict-port-level-overrides,Restrict port-level configuration overrides on VDS,config|policies|override|port_config_reset_at_disconnect,,= false,= false,= false,,,= false,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Security Policy overrides on VDS is not restricted,config|policies|override|security_policy_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Restrict port-level configuration Shaping overrides on VDS,config|policies|override|shaping_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Uplink Teaming overrides on VDS is not restricted,config|policies|override|uplink_teaming_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration Vendor configuration overrides on VDS is not restricted,config|policies|override|vendor_config_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,–,vNetwork.restrict-port-level-overrides - Port-level configuration VLAN overrides on VDS is not restricted,config|policies|override|vlan_override_allowed,,= false,= false,= false,,,,= false,
DistributedVirtualPortgroup,vNetwork.reject-promiscuous-mode-dvportgroup,The Promiscuous Mode policy is not set to reject,config|policies|security|allow_promiscuous,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
DistributedVirtualPortgroup,vNetwork.reject-forged-transmit-dvportgroup,The Forged Transmits policy is not set to reject,config|policies|security|forged_transmits,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
DistributedVirtualPortgroup,vNetwork.reject-mac-changes-dvportgroup,The MAC Address Changes policy is not set to reject,config|policies|security|mac_changes,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
HostSystem,ESXi.set-dcui-access,DCUI.Access is not set for trusted users to override lockdown mode,config|security|dcui_access,≠ none,≠ none,≠ none,≠ none,,,,≠ none,
HostSystem,ESXi.set-dcui-timeout,The idle connections to DCUI to terminate left over login session is not set to desired value,config|security|dcui_timeout,≥ 600.0,≥ 600.0,≥ 600.0,≥ 600.0,,,,600,Symptom reports <600 because 0 means disabled. Reference value: 600.
VirtualMachine,VM.Deactivate-VMtools-autoinstall,Auto install of tools is activated (5.5/6.0 Hardening Guide),config|security|disable_autoinstall,≠ false,,,,,,,≠ false,
VirtualMachine,VM.Deactivate-console-copy,Copy/paste operations are activated,config|security|disable_console_copy,≠ false,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,VM.Deactivate-console-drag-n-drop,Copy/paste operations are activated,config|security|disable_console_dnd,≠ false,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,VM.Deactivate-console-paste,Copy/paste operations are activated,config|security|disable_console_paste,≠ false,≠ false,≠ false,≠ false,,,,≠ false,
